qknorm | 55789638 bytes | epoch=1 | minADE6=1.1964781284332275 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_1-minADE6_1.1964781284332275.ckpt
qknorm | 55793405 bytes | epoch=10 | minADE6=0.8234051465988159 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_10-minADE6_0.8234051465988159.ckpt
qknorm | 55793724 bytes | epoch=11 | minADE6=0.8110013008117676 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_11-minADE6_0.8110013008117676.ckpt
qknorm | 55794043 bytes | epoch=12 | minADE6=0.7865185737609863 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_12-minADE6_0.7865185737609863.ckpt
qknorm | 55794554 bytes | epoch=13 | minADE6=0.7943913340568542 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_13-minADE6_0.7943913340568542.ckpt
qknorm | 55794937 bytes | epoch=14 | minADE6=0.771429717540741 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_14-minADE6_0.771429717540741.ckpt
qknorm | 55795320 bytes | epoch=15 | minADE6=0.739719569683075 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_15-minADE6_0.739719569683075.ckpt
qknorm | 55795767 bytes | epoch=16 | minADE6=0.7209101319313049 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_16-minADE6_0.7209101319313049.ckpt
qknorm | 55796214 bytes | epoch=17 | minADE6=0.7173125743865967 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_17-minADE6_0.7173125743865967.ckpt
qknorm | 55796533 bytes | epoch=18 | minADE6=0.7058011889457703 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_18-minADE6_0.7058011889457703.ckpt
qknorm | 55796980 bytes | epoch=19 | minADE6=0.7038450837135315 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_19-minADE6_0.7038450837135315.ckpt
qknorm | 55790085 bytes | epoch=2 | minADE6=1.1256824731826782 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_2-minADE6_1.1256824731826782.ckpt
qknorm | 55790404 bytes | epoch=3 | minADE6=1.009490728378296 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_3-minADE6_1.009490728378296.ckpt
qknorm | 55790851 bytes | epoch=4 | minADE6=0.9857571721076965 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_4-minADE6_0.9857571721076965.ckpt
qknorm | 55791298 bytes | epoch=5 | minADE6=0.9824486970901489 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_5-minADE6_0.9824486970901489.ckpt
qknorm | 55791617 bytes | epoch=6 | minADE6=0.9248176217079163 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_6-minADE6_0.9248176217079163.ckpt
qknorm | 55792128 bytes | epoch=7 | minADE6=0.8646595478057861 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_7-minADE6_0.8646595478057861.ckpt
qknorm | 55792511 bytes | epoch=8 | minADE6=0.8915988802909851 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_8-minADE6_0.8915988802909851.ckpt
qknorm | 55792894 bytes | epoch=9 | minADE6=0.8978214263916016 | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/epoch_9-minADE6_0.8978214263916016.ckpt
qknorm | 55796980 bytes | epoch=None | minADE6=None | /home/server01/M/Results/SEAM_AV2_20EPOCH_4TEST_MAXRES_20260903-114512/04_qknorm/checkpoints/last.ckpt
